Distance (km),Error (m)
0.085146642,-0.452726146
0.085977318,0.292507702
0.086813379,-0.545734023
0.087654843,0.045151677
0.088501727,-0.566475275
0.089354048,0.720158995
0.090211824,0.431133623
0.091075072,0.685307203
0.091943809,-0.531679501
0.092818054,0.079953678
0.093697822,1.055512487
0.094583133,-0.832248144
0.095474002,-0.479600629
0.096370448,-0.548274945
0.097272488,-0.701967979
0.09818014,0.043202504
0.09909342,-0.335649437
0.100012346,0.297721656
0.100936936,0.410587112
0.101867206,0.174590978
0.102803175,-0.02807623
0.10374486,-0.587661366
0.104692278,0.777179407
0.105645446,-0.50898566
0.106604382,-0.405868067
0.107569104,0.035016965
0.108539628,0.360418005
0.109515972,0.474846012
0.110498154,0.152706489
0.111486191,0.06841106
0.1124801,0.541004151
0.113479898,0.651935684
0.114485604,-0.099825525
0.115497234,0.318646617
0.116514807,-0.606898498
0.117538338,-0.208074754
0.118567846,-0.699513164
0.119603349,0.182447326
0.120644863,-0.58350968
0.121692405,-0.563509816
0.122745994,-0.208996233
0.123805647,-0.649765986
0.124871381,0.087135275
0.125943213,-0.362222554
0.127021161,-0.61440281
0.128105243,0.76197734
0.129195475,-0.919481271
0.130291875,-0.302750125
0.131394461,0.218275052
0.13250325,-0.299256517
0.133618259,-0.184007678
0.134739505,-0.540276971
0.135867007,0.164532087
0.137000781,-0.677324311
0.138140845,-0.217422441
0.139287217,-0.641765903
0.140439913,-1.121305406
0.141598951,0.46712246
0.142764348,-0.489030226
0.143936123,-0.544821282
0.145114292,0.643667861
0.146298872,-0.412610434
0.147489882,-0.226444045
0.148687338,-0.551314067
0.149891257,-0.505897124
0.151101659,-0.593128731
0.152318558,0.323038252
0.153541974,0.557847661
0.154771924,-0.319568906
0.156008424,-0.519931665
0.157251492,-0.168347596
0.158501147,-0.241803756
0.159757404,-0.276481756
0.161020281,-0.475360892
0.162289797,-0.049302351
0.163565968,0.125271466
0.164848811,-0.153168263
0.166138345,-0.685903755
0.167434586,0.003677619
0.168737552,0.710721049
0.17004726,1.017108137
0.171363728,-0.904677719
0.172686973,-0.63509743
0.174017012,-0.525338249
0.175353863,0.291569618
0.176697544,-0.100917044
0.178048071,0.606755494
0.179405462,0.612001457
0.180769734,0.479174965
0.182140906,0.889085237
0.183518994,0.353179887
0.184904015,0.290980198
0.186295987,-0.149521096
0.187694928,0.896574617
0.189100855,0.542804457
0.190513785,0.018701358
0.191933735,0.370600687
0.193360724,0.09446184
0.194794768,0.343242278
0.196235885,-0.211883431
0.197684092,0.375621238
0.199139407,-0.354649725
0.200601847,-0.042280619
0.202071429,0.245658522
0.203548171,1.033563038
0.205032091,0.257419348
0.206523205,0.90514221
0.208021531,0.24539088
0.209527086,-0.51328923
0.211039889,0.021996009
0.212559955,0.260835982
0.214087303,1.240900607
0.215621951,-0.150600815
0.217163914,0.063355712
0.218713212,0.962882227
0.22026986,-0.3498415
0.221833878,0.850207455
0.223405281,0.214570662
0.224984088,0.935011662
0.226570315,-0.184166164
0.228163981,-0.360294701
0.229765103,-0.624541997
0.231373697,0.217715403
0.232989782,-0.247680657
0.234613375,0.58180886
0.236244493,-0.154614639
0.237883153,-0.5796233
0.239529374,0.239181428
0.241183172,-0.253988081
0.242844565,0.79838493
0.24451357,0.537522852
0.246190204,0.687132244
0.247874486,0.029620338
0.249566432,-0.524370707
0.25126606,0.469805061
0.252973387,-0.060025179
0.254688431,0.052855907
0.256411209,0.086833828
0.258141738,-0.530571421
0.259880036,1.190075606
0.26162612,0.369339021
0.263380008,0.018086637
0.265141716,0.686988492
0.266911263,-0.376447286
0.268688666,0.426406709
0.270473943,0.044526663
0.272267109,-0.226244893
0.274068184,1.100974561
0.275877184,0.743872731
0.277694127,0.149841032
0.27951903,-0.354687269
0.281351911,1.073452621
0.283192787,-0.876465246
0.285041675,-0.328164314
0.286898593,0.962284147
0.288763558,0.26123645
0.290636588,0.527651062
0.2925177,-0.070617393
0.294406911,-0.585791565
0.296304239,0.515555944
0.298209701,-0.082424822
0.300123314,0.509270271
0.302045097,0.371365347
0.303975066,0.458449407
0.305913239,0.56080317
0.307859633,0.034455751
0.309814265,0.45753826
0.311777154,-0.662300496
0.313748316,0.662248051
0.315727769,-0.53579071
0.31771553,-0.479230607
0.319711616,0.449409484
0.321716046,0.259577849
0.323728835,-0.855384257
0.325750003,0.155679699
0.327779566,-0.281143435
0.329817541,-0.178420444
0.331863947,0.393471541
0.333918799,0.14193332
0.335982117,-1.115018707
0.338053917,0.687647898
0.340134216,0.301202183
0.342223032,-0.546733437
0.344320383,0.120802513
0.346426285,0.324900132
0.348540756,-0.111253514
0.350663815,-0.843467319
0.352795477,0.725370849
0.35493576,0.080815266
0.357084682,0.294177959
0.35924226,-0.552732444
0.361408512,-0.294870385
0.363583455,-0.497784577
0.365767106,0.076831101
0.367959483,0.7293295
0.370160603,0.537300394
0.372370484,-0.405890787
0.374589143,0.516464651
0.376816597,-0.158277478
0.379052864,0.161965689
0.38129796,0.376128443
0.383551905,0.195575674
0.385814714,0.992398071
0.388086406,-0.091329713
0.390366998,0.269853371
0.392656506,-0.045364772
0.394954949,0.038066846
0.397262344,-1.062849693
0.399578709,0.272681214
0.40190406,-0.16478542
0.404238416,-0.78159076
0.406581792,-1.178742027
0.408934208,-0.11619582
0.411295681,-0.715739936
0.413666226,-0.490533248
0.416045864,0.469039707
0.418434609,-0.863604117
0.420832481,-1.035478116
0.423239496,0.777194317
0.425655671,-0.235536876
0.428081025,-0.850519076
0.430515574,0.285898809
0.432959337,-0.834120499
0.435412329,-0.34719334
0.437874569,-1.061584824
0.440346075,-1.025649689
0.442826863,0.119099323
0.445316951,-0.749140147
0.447816356,0.17057762
0.450325096,-0.524651135
0.452843188,0.086638831
0.455370649,-1.010749412
0.457907498,-0.08648424
0.460453751,0.236185424
0.463009425,-0.502465932
0.465574539,-0.509266451
0.468149109,-0.716317376
0.470733153,0.428895705
0.473326689,0.001370749
0.475929733,-0.434356245
0.478542303,0.415915022
0.481164417,-0.270774183
0.483796092,-1.646868612
0.486437345,-1.481620576
0.489088193,-0.816686568
0.491748655,-0.569586359
0.494418748,-0.544572755
0.497098488,-0.231686734
0.499787893,0.199698677
0.502486982,-0.766224408
0.50519577,-0.771239015
0.507914276,-0.346343719
0.510642517,-0.340047557
0.51338051,-0.335797046
0.516128273,0.028232417
0.518885823,-0.944855265
0.521653177,-0.403495335
0.524430353,-0.22255894
0.527217369,-0.671547377
0.530014241,-0.314638202
0.532820988,-0.426906341
0.535637626,-0.212279733
0.538464172,-1.043781876
0.541300645,-0.023757753
0.544147062,-1.309079962
0.54700344,0.093593943
0.549869797,-0.302500592
0.552746149,-0.66733978
0.555632514,0.649284943
0.558528911,-0.060348656
0.561435355,0.268094128
0.564351865,-0.015968304
0.567278458,-0.473719449
0.570215151,-0.399338793
0.573161961,-1.175236178
0.576118907,-0.096452936
0.579086005,-0.259381224
0.582063273,0.519141639
0.585050729,-0.132605635
0.588048389,0.151756178
0.591056271,0.298162685
0.594074393,-0.225962308
0.597102771,0.173041858
0.600141424,0.632167795
0.603190369,0.080051317
0.606249622,0.353976812
0.609319202,0.414236131
0.612399126,1.055814339
0.615489412,1.036968142
0.618590076,0.835999334
0.621701135,1.012663009
0.624822609,0.822627474
0.627954513,0.73437534
0.631096866,1.649333855
0.634249684,1.149169061
0.637412985,0.07542656
0.640586787,0.261891667
0.643771107,0.773180788
0.646965962,0.518613869
0.650171369,0.80083524
0.653387347,-0.169453715
0.656613912,0.588434364
0.659851082,1.364660082
0.663098874,-0.094910736
0.666357306,0.917488925
0.669626395,0.999687834
0.672906158,1.192043208
0.676196613,0.183939578
0.679497778,1.134708946
0.682809669,1.12815892
0.686132304,0.211385731
0.689465701,0.289113011
0.692809877,0.131033977
0.696164848,1.172775157
0.699530634,0.07290298
0.70290725,1.032283984
0.706294715,0.178333306
0.709693046,0.402256555
0.71310226,0.667946921
0.716522374,0.747589124
0.719953407,0.764310915
0.723395375,0.666172206
0.726848296,0.201877255
0.730312188,0.376850582
0.733787066,0.752714801
0.73727295,1.296186932
0.740769857,0.809608242
0.744277803,-0.409853553
0.747796806,1.006117445
0.751326884,0.536626323
0.754868054,-0.07517082
0.758420334,0.116805988
0.76198374,0.974456037
0.765558291,0.973131064
0.769144003,0.187770478
0.772740894,0.89305297
0.776348982,1.114254703
0.779968284,0.267645935
0.783598816,0.923733877
0.787240598,1.057797548
0.790893645,0.31308035
0.794557976,-0.198870395
0.798233608,0.464492627
0.801920557,0.771865172
0.805618843,1.152413628
0.809328481,1.270121065
0.81304949,1.311885853
0.816781887,-0.221628546
0.820525689,0.148420788
0.824280914,0.379263603
0.828047578,0.678805607
0.8318257,1.215351411
0.835615297,0.366439458
0.839416386,0.246684764
0.843228985,1.105075716
0.847053111,0.021181495
0.850888781,-0.348280518
0.854736013,0.025418971
0.858594824,0.144786933
0.862465232,-0.350886251
0.866347253,0.492909965
0.870240907,1.459488364
0.874146209,0.383428779
0.878063177,-0.065145745
0.881991829,0.884884409
0.885932181,0.72524053
0.889884252,-0.082150747
0.893848059,0.66133531
0.89782362,0.55477414
0.90181095,0.167441418
0.905810069,0.108034199
0.909820993,-0.590071282
0.91384374,-0.598791188
0.917878328,-0.171860904
0.921924772,0.024527627
0.925983092,-0.57135266
0.930053304,0.707949737
0.934135426,-0.252939762
0.938229475,0.003046595
0.942335469,0.569644792
0.946453425,-0.764197692
0.95058336,-0.653519066
0.954725292,-0.180517744
0.958879238,0.260975475
0.963045216,-0.083824134
0.967223242,-1.152820797
0.971413336,0.074976087
0.975615512,0.319223396
0.97982979,0.130615426
0.984056187,1.126206124
0.98829472,-0.397896964
0.992545406,-0.689690266
0.996808262,-0.66284319
1.001083307,0.043326204
1.005370558,0.144999068
1.009670031,-0.889756517
1.013981745,0.491490881
1.018305717,-0.13259144
1.022641964,-0.459358664
1.026990503,-0.021177315
1.031351352,-0.188034673
1.035724529,-0.627658254
1.040110051,-0.606806796
1.044507934,-0.355830424
1.048918198,-1.284853379
1.053340858,-0.025391887
1.057775932,0.471069977
1.062223439,0.066442832
1.066683394,0.75004978
1.071155816,-0.828727745
1.075640722,-1.165833663
1.08013813,0.2237782
1.084648056,-1.379750694
1.089170518,-0.38383974
1.093705534,-0.770230366
1.098253121,-0.129495912
1.102813296,-1.292786271
1.107386077,-0.705967637
1.111971481,-0.448850516
1.116569526,-0.838369147
1.121180229,-1.615217622
1.125803607,-1.191526022
1.130439677,-1.388378054
1.135088458,-1.663361325
1.139749967,-1.353365218
1.14442422,-1.314902119
1.149111236,-1.357307787
1.153811031,-1.031140158
1.158523624,-1.154335643
1.163249031,-1.516258464
1.16798727,-0.21690033
1.172738359,-0.090148795
1.177502314,-1.06424524
1.182279154,0.522768734
1.187068894,0.520348244
1.191871554,-0.602177139
1.196687151,-0.588639922
1.2015157,-1.029462653
1.206357222,-0.851260273
1.211211731,-0.828787307
1.216079247,-1.706702639
1.220959786,-1.216178583
1.225853365,-0.779119613
1.230760003,-1.174951348
1.235679716,-1.112201953
1.240612522,-1.276652203
1.245558439,-0.325069327
1.250517483,-2.141143574
1.255489673,-2.150031151
1.260475025,-0.962435837
1.265473556,-2.154818369
1.270485286,-1.583341746
1.27551023,-1.996506951
1.280548406,-1.286588199
1.285599831,-1.847180766
1.290664524,-1.636539384
1.295742501,-1.710320453
1.300833779,-1.375850849
1.305938377,-1.173979361
1.311056311,-1.369637352
1.316187599,-1.824586179
1.321332258,-1.164615937
1.326490307,-1.036768166
1.331661761,-2.220676928
1.336846639,-1.744357322
1.342044957,-1.843637946
1.347256734,-1.200642183
1.352481987,-0.822797039
1.357720733,-0.433759748
1.362972989,-0.98572628
1.368238773,-1.26842093
1.373518103,0.019964189
1.378810995,-0.857128418
1.384117468,0.344704822
1.389437537,-0.499355758
1.394771222,-0.495964386
1.400118539,-0.658123439
1.405479506,-0.100042965
1.41085414,0.069056057
1.416242458,-0.081978547
1.421644479,-0.811400381
1.427060218,0.139552148
1.432489694,-0.306740417
1.437932925,0.237273868
1.443389927,0.331067925
1.448860718,-0.402049916
1.454345315,1.050137376
1.459843735,1.045379911
1.465355997,1.961765331
1.470882118,1.2916993
1.476422114,1.211053629
1.481976003,1.50131556
1.487543804,2.109765107
1.493125532,0.825856605
1.498721206,1.047638757
1.504330842,2.306640033
1.509954459,1.100287468
1.515592074,1.540540312
1.521243704,2.155504587
1.526909366,0.912034701
1.532589078,1.950149629
1.538282858,2.815593646
1.543990722,0.974835176
1.549712688,1.922151154
1.555448773,1.535724103
1.561198996,0.90152875
1.566963373,1.301201368
1.572741921,0.731633362
1.578534659,2.543947801
1.584341603,1.053863374
1.590162771,1.929759741
1.59599818,1.013621402
1.601847848,1.55662155
1.607711792,1.874821447
1.613590029,1.569134107
1.619482577,1.985883825
1.625389454,1.929195777
1.631310676,0.819437177
1.637246261,0.963107115
1.643196227,1.242770919
1.649160591,0.845040062
1.65513937,1.245432357
1.661132581,2.280489923
1.667140243,1.312358678
1.673162372,1.634221273
1.679198986,1.480308667
1.685250102,2.335384844
1.691315738,1.15475433
1.69739591,1.106458201
1.703490638,1.672799692
1.709599937,1.799621626
1.715723825,1.288059731
1.72186232,0.840270007
1.72801544,1.400160808
1.7341832,1.567593858
1.74036562,1.324574154
1.746562715,2.623590173
1.752774505,0.742174358
1.759001005,0.627201303
1.765242234,1.175401
1.771498209,0.340790339
1.777768947,0.55910423
1.784054465,1.019927969
1.790354782,1.018802789
1.796669914,0.859538349
1.802999879,1.405648053
1.809344694,1.092097661
1.815704377,1.552340675
1.822078945,0.908509347
1.828468415,1.967991455
1.834872805,0.866226326
1.841292133,1.147866582
1.847726415,0.954600786
1.854175669,0.164055894
1.860639912,2.290155233
1.867119162,1.142741789
1.873613437,0.889203995
1.880122753,0.475772783
1.886647128,0.747574645
1.89318658,0.35837967
1.899741125,1.146460013
1.906310782,0.121034659
1.912895567,1.391826236
1.919495499,0.685596349
1.926110593,-0.072133193
1.932740869,0.436062723
1.939386343,0.231231613
1.946047032,0.323296396
1.952722955,0.835901837
1.959414128,0.411549047
1.966120568,1.142412605
1.972842294,0.56124343
1.979579323,0.355986271
1.986331671,-1.191382963
1.993099357,0.689898807
1.999882398,-0.974607647
2.006680811,-0.040596382
2.013494614,0.412658665
2.020323823,0.590133273
2.027168457,0.274267162
2.034028533,0.08067705
2.040904068,0.236720901
2.04779508,-1.473465388
2.054701586,-0.040766774
2.061623603,0.727398265
2.068561148,-0.432692207
2.075514241,-0.080611669
2.082482896,-1.29152119
2.089467133,0.706669544
2.096466968,0.087016623
2.103482419,-1.044920401
2.110513503,-1.447903602
2.117560238,-0.57218414
2.124622641,-0.469812763
2.131700729,0.274323554
2.13879452,-0.917850587
2.145904031,-0.283428304
2.153029279,-0.75421241
2.160170283,-1.412797823
2.167327059,-0.73855401
2.174499625,-0.346558679
2.181687998,-1.025219934
2.188892196,-1.156242362
2.196112235,-0.877466854
2.203348134,-0.536146656
2.21059991,-0.493066212
2.21786758,-1.362442368
2.225151162,-1.01486697
2.232450672,-1.295249668
2.239766129,-1.092392391
2.24709755,-1.370998791
2.254444952,-0.892441294
2.261808353,-0.721912303
2.269187769,-1.386926142
2.276583219,-1.342267601
2.28399472,-1.512199945
2.291422289,-1.26698017
2.298865943,-1.188859132
2.3063257,-0.819357096
2.313801578,-1.223416364
2.321293594,-1.744461502
2.328801765,-1.188946531
2.336326108,-1.397962638
2.343866641,-1.825713516
2.351423382,-1.845289414
2.358996347,-1.428579141
2.366585555,-1.309179245
2.374191022,-1.920780721
2.381812766,-1.37681183
2.389450804,-1.619863063
2.397105155,-1.923967667
2.404775834,-2.113585087
2.41246286,-2.239230845
2.42016625,-2.659949733
2.427886021,-1.672627816
2.435622191,-3.067596202
2.443374778,-1.896916385
2.451143798,-2.404263948
2.458929268,-2.580653147
2.466731207,-2.534787869
2.474549632,-2.104376319
2.48238456,-2.53882757
2.490236009,-2.766581527
2.498103995,-1.450079048
2.505988537,-2.622048812
2.513889652,-1.918912527
2.521807357,-2.235742452
2.529741669,-1.923933274
2.537692606,-3.30508187
2.545660186,-2.659583946
2.553644425,-2.631963204
2.561645342,-2.571450656
2.569662953,-3.065564969
2.577697276,-2.535459981
2.585748328,-2.156261527
2.593816127,-3.619663727
2.601900691,-2.923566883
2.610002036,-2.630377677
2.618120179,-1.928527159
2.626255139,-2.78426533
2.634406933,-2.558583107
2.642575578,-2.293880512
2.650761092,-3.052790698
2.658963491,-1.947084663
2.667182794,-3.421889254
2.675419017,-2.590269614
2.683672179,-1.95833142
2.691942296,-2.712303101
2.700229386,-2.410731258
2.708533467,-1.717868796
2.716854555,-1.622092992
2.725192668,-1.98653314
2.733547824,-2.166854149
2.74192004,-2.091261456
2.750309333,-1.265348002
2.758715721,-0.483995474
2.76713922,-1.137040372
2.77557985,-0.944236541
2.784037626,-0.353458448
2.792512567,-1.540305995
2.801004689,0.742771508
2.809514011,0.935866311
2.818040549,1.080947598
2.826584321,0.081041001
2.835145344,2.418022428
2.843723636,1.296838638
2.852319214,2.416009335
2.860932096,1.579157938
2.869562299,2.780430542
2.878209839,2.820034924
2.886874736,2.265323574
2.895557006,2.295233861
2.904256666,3.215142348
2.912973734,2.263424122
2.921708227,3.23236034
2.930460164,2.942123935
2.93922956,3.409034493
2.948016434,3.494629225
2.956820802,3.081390848
2.965642683,3.085613667
2.974482094,3.027567578
2.983339052,2.315947241
2.992213574,2.704723621
3.001105678,2.673451841
3.010015381,3.483673734
3.018942702,3.552984185
3.027887656,3.803706747
3.036850262,3.331077379
3.045830536,3.275072431
3.054828497,2.480980263
3.063844162,3.365056815
3.072877547,2.405092591
3.081928672,1.962656297
3.090997552,2.607862435
3.100084205,2.137206494
3.109188649,2.208806115
3.118310901,2.262949508
3.127450979,3.695424923
3.1366089,3.329524526
3.145784681,2.478025584
3.154978339,3.284323309
3.164189893,2.42411068
3.173419359,2.645755171
3.182666755,3.202756186
3.191932098,2.816707972
3.201215406,2.417167784
3.210516696,2.003852536
3.219835985,3.781709688
3.229173292,3.362629848
3.238528632,3.548914142
3.247902025,3.143970127
3.257293486,2.489164285
3.266703034,2.138001957
3.276130686,2.51794
3.285576459,3.830937422
3.295040371,1.88969498
3.304522438,2.074520357
3.31402268,1.857203404
3.323541112,2.302360934
3.333077752,3.794249593
3.342632618,1.91722166
3.352205727,2.806286508
3.361797097,2.124521352
3.371406744,2.313849174
3.381034687,2.574676058
3.390680942,1.916537101
3.400345528,1.717888801
3.410028461,1.695273484
3.419729758,1.694623054
3.429449438,1.402917797
3.439187518,1.833520748
3.448944015,1.770615337
3.458718946,1.518142526
3.468512329,1.684884298
3.478324181,1.410786585
3.48815452,1.962894215
3.498003363,1.755674033
3.507870728,1.250410562
3.517756631,1.037790972
3.52766109,1.088538356
3.537584124,0.845193509
3.547525748,0.859896738
3.55748598,0.944999863
3.567464839,1.103156405
3.577462341,0.820160427
3.587478503,0.270412336
3.597513344,1.648216254
3.60756688,0.932993904
3.617639128,0.964576704
3.627730107,1.537925158
3.637839834,0.987760086
3.647968326,0.0452646
3.6581156,0.812996346
3.668281674,0.912491065
3.678466565,0.180863047
3.688670291,0.571942479
3.698892869,-0.618248898
3.709134316,-0.283328823
3.71939465,0.575029319
3.729673888,0.375050144
3.739972048,0.36977324
3.750289147,-0.283596973
3.760625203,-0.104497001
3.770980232,-0.086481467
3.781354253,0.22114364
3.791747282,-0.194981929
3.802159337,-0.376658032
3.812590436,0.252166525
3.823040595,-1.477205955
3.833509833,-1.208413581
3.843998166,-0.920380224
3.854505612,0.054138298
3.865032189,-0.51140723
3.875577913,-0.213312515
3.886142803,-1.505448448
3.896726875,-1.085749798
3.907330148,-2.128347476
3.917952638,-1.848135514
3.928594362,-1.127110157
3.939255339,-1.42479741
3.949935585,-1.378941554
3.960635119,-0.604493291
3.971353957,-1.607843252
3.982092116,-1.004505265
3.992849615,-2.009887084
4.003626471,-1.00125186
4.0144227,-2.305504987
4.025238321,-2.590200965
4.036073351,-2.494701811
4.046927807,-1.799548505
4.057801706,-2.621748829
4.068695067,-2.589897248
